period_label,display_rank,term,term_label,plot_score,current_period_score,prior_period_score,status,score_source,is_current_top_term
Apr 7–9,1,israeli,israeli,0.44621242658148097,0.44621242658148097,,baseline,current_period,True
Apr 7–9,2,war,war,0.27423472050320186,0.27423472050320186,,baseline,current_period,True
Apr 7–9,3,ceasefire,ceasefire,0.27423472050320186,0.27423472050320186,,baseline,current_period,True
Apr 7–9,4,us,us,0.2091620749600692,0.2091620749600692,,baseline,current_period,True
Apr 7–9,5,trump,trump,0.20451402884984543,0.20451402884984543,,baseline,current_period,True
Apr 7–9,6,lebanon,lebanon,0.19056989051917417,0.19056989051917417,,baseline,current_period,True
Apr 7–9,7,american,american,0.14408942941693656,0.14408942941693656,,baseline,current_period,True
Apr 7–9,8,israel,israel,0.12084919886581776,0.12084919886581776,,baseline,current_period,True
Apr 7–9,9,president,president,0.11620115275559399,0.11620115275559399,,baseline,current_period,True
Apr 7–9,10,irgc,irgc,0.11620115275559399,0.11620115275559399,,baseline,current_period,True
Apr 7–9,11,tehran,tehran,0.11155310664537024,0.11155310664537024,,baseline,current_period,True
Apr 7–9,12,two,two,0.10690506053514648,0.10690506053514648,,baseline,current_period,True
Apr 7–9,13,victory,victory,0.10233409726676318,0.10233409726676318,,baseline,current_period,True
Apr 7–9,14,forces,forces,0.10225701442492272,0.10225701442492272,,baseline,current_period,True
Apr 7–9,15,attacks,attacks,0.10225701442492272,0.10225701442492272,,baseline,current_period,True
Apr 9–10,1,israeli,israeli,0.35093601806872066,0.35093601806872066,,recurring,current_period,True
Apr 9–10,2,lebanon,lebanon,0.24432254422505867,0.24432254422505867,,recurring,current_period,True
Apr 9–10,3,islamic,islamic,0.23543808807142017,0.23543808807142017,,recurring,current_period,True
Apr 9–10,4,leader,leader,0.23543808807142017,0.23543808807142017,,recurring,current_period,True
Apr 9–10,5,day,day,0.21322694768732392,0.21322694768732392,,recurring,current_period,True
Apr 9–10,6,ayatollah,ayatollah,0.19545803538004694,0.19545803538004694,,new,current_period,True
Apr 9–10,7,revolution,revolution,0.19101580730322767,0.19101580730322767,,new,current_period,True
Apr 9–10,8,us,us,0.18657357922640844,0.18657357922640844,,recurring,current_period,True
Apr 9–10,9,khamenei,khamenei,0.18657357922640844,0.18657357922640844,,new,current_period,True
Apr 9–10,10,ceasefire,ceasefire,0.1821313511495892,0.1821313511495892,,recurring,current_period,True
Apr 9–10,11,seyyed,seyyed,0.17768912307276993,0.17768912307276993,,new,current_period,True
Apr 9–10,12,mourning,mourning,0.15436293611663848,0.15436293611663848,,new,current_period,True
Apr 9–10,13,martyrdom,martyrdom,0.15103575461185445,0.15103575461185445,,new,current_period,True
Apr 9–10,14,late,late,0.14670403089196646,0.14670403089196646,,new,current_period,True
Apr 9–10,15,war,war,0.13326684230457744,0.13326684230457744,,recurring,current_period,True
Apr 9–10,16,trump,trump ↓,0.20451402884984543,0.06219119307546948,0.20451402884984543,dropped,prior_period:Apr 7–9,False
Apr 9–10,17,american,american ↓,0.14408942941693656,0.013326684230457745,0.14408942941693656,dropped,prior_period:Apr 7–9,False
Apr 9–10,18,israel,israel ↓,0.12084919886581776,0.10217124576684272,0.12084919886581776,dropped,prior_period:Apr 7–9,False
Apr 9–10,19,president,president ↓,0.11620115275559399,0.10661347384366196,0.11620115275559399,dropped,prior_period:Apr 7–9,False
Apr 9–10,20,irgc,irgc ↓,0.11620115275559399,0.06219119307546948,0.11620115275559399,dropped,prior_period:Apr 7–9,False
Apr 10–12,1,talks,talks,0.45540340775809435,0.45540340775809435,,recurring,current_period,True
Apr 10–12,2,israeli,israeli,0.3066182216336793,0.3066182216336793,,recurring,current_period,True
Apr 10–12,3,islamabad,islamabad,0.2956675708610479,0.2956675708610479,,new,current_period,True
Apr 10–12,4,us,us,0.21901301545262805,0.21901301545262805,,recurring,current_period,True
Apr 10–12,5,strait,strait,0.19163638852104956,0.19163638852104956,,new,current_period,True
Apr 10–12,6,hormuz,hormuz,0.18616106313473385,0.18616106313473385,,new,current_period,True
Apr 10–12,7,lebanon,lebanon,0.15878443620315535,0.15878443620315535,,recurring,current_period,True
Apr 10–12,8,negotiations,negotiations,0.15878443620315535,0.15878443620315535,,new,current_period,True
