date,day_name,total_messages,with_media,text_only,media_pct,peak_hour,peak_count
2026-04-07 00:00:00+00:00,Tuesday,138,84,54,60.9,14:00,18
2026-04-08 00:00:00+00:00,Wednesday,172,118,54,68.6,17:00,18
2026-04-09 00:00:00+00:00,Thursday,185,118,67,63.8,23:00,16
2026-04-10 00:00:00+00:00,Friday,175,106,69,60.6,16:00,15
2026-04-11 00:00:00+00:00,Saturday,146,87,59,59.6,11:00,13
2026-04-12 00:00:00+00:00,Sunday,142,94,48,66.2,11:00,12
2026-04-13 00:00:00+00:00,Monday,152,103,49,67.8,12:00,16
2026-04-14 00:00:00+00:00,Tuesday,90,52,38,57.8,00:00,8
